State,Year,Days,Good,Moderate,UnhealthyForS,Unhealthy,VeryUnhealthy,Hazardous
Alabama,1980,2597,1304,675,431,179,8,0
Alabama,1981,3485,2043,704,504,220,14,0
Alabama,1982,3181,2095,667,321,93,5,0
Alabama,1983,2488,1538,570,295,76,9,0
Alabama,1984,2499,1718,464,251,65,1,0
Alabama,1985,2373,1673,495,182,22,1,0
Alabama,1986,2990,1840,682,360,102,6,0
Alabama,1987,2483,1459,610,303,103,8,0
Alabama,1988,2671,1661,591,308,98,13,0
Alabama,1989,2996,2215,575,178,28,0,0
Alabama,1990,3913,2835,743,276,56,3,0
Alabama,1991,3945,3072,635,210,28,0,0
Alabama,1992,4030,3165,626,204,35,0,0
Alabama,1993,4527,3297,890,281,55,4,0
Alabama,1994,4917,3865,754,258,40,0,0
Alabama,1995,4751,3633,755,295,59,9,0
Alabama,1996,4592,3532,796,209,51,4,0
Alabama,1997,4324,3320,749,232,22,1,0
Alabama,1998,4291,3119,788,286,86,12,0
Alabama,1999,4477,2221,1683,455,109,9,0
Alabama,2000,4871,2403,1882,494,85,7,0
Alabama,2001,5010,3076,1663,227,37,7,0
Alabama,2002,5469,3508,1642,276,41,2,0
Alabama,2003,5786,3625,1930,214,17,0,0
Alabama,2004,5793,3820,1808,154,10,1,0
Alabama,2005,5882,3624,2035,208,15,0,0
Alabama,2006,5830,3438,2118,247,26,1,0
Alabama,2007,5600,3042,2217,296,44,1,0
Alabama,2008,4819,3014,1735,64,6,0,0
Alabama,2009,4917,3577,1322,18,0,0,0
Alabama,2010,5108,2945,2085,72,6,0,0
Alabama,2011,4722,3264,1375,76,7,0,0
Alabama,2012,4481,3417,1000,60,4,0,0
Alabama,2013,4773,4048,722,3,0,0,0
Alabama,2014,4688,3842,830,16,0,0,0
Alabama,2015,5171,3920,1229,19,3,0,0
Alabama,2016,5008,3944,1035,24,5,0,0
Alabama,2017,5273,4187,1063,21,1,1,0
Alabama,2018,3559,2742,803,12,2,0,0
Alaska,1980,1177,864,225,48,24,16,0
Alaska,1981,1051,743,246,38,21,3,0
Alaska,1982,843,552,205,55,25,6,0
Alaska,1983,736,428,207,67,24,10,0
Alaska,1984,549,309,193,34,5,8,0
Alaska,1985,805,461,251,68,22,3,0
Alaska,1986,1062,682,306,58,15,1,0
Alaska,1987,1127,889,211,24,3,0,0
Alaska,1988,1473,1217,226,25,5,0,0
Alaska,1989,1793,1526,247,18,2,0,0
Alaska,1990,2008,1641,326,36,4,1,0
Alaska,1991,1848,1449,338,49,10,0,0
Alaska,1992,1700,1251,369,62,14,0,4
Alaska,1993,1688,1295,315,66,12,0,0
Alaska,1994,1498,1279,207,11,1,0,0
Alaska,1995,1391,1171,204,15,1,0,0
Alaska,1996,1300,1092,201,7,0,0,0
Alaska,1997,1197,1039,153,4,1,0,0
Alaska,1998,1088,937,146,4,1,0,0
Alaska,1999,1164,1030,123,9,2,0,0
Alaska,2000,1216,1056,146,11,3,0,0
Alaska,2001,1210,1049,153,8,0,0,0
Alaska,2002,1350,1215,126,8,1,0,0
Alaska,2003,1337,1247,85,3,1,0,1
Alaska,2004,1547,1432,94,7,4,3,5
Alaska,2005,1509,1394,107,6,2,0,0
Alaska,2006,1588,1391,170,25,2,0,0
Alaska,2007,1591,1404,168,17,2,0,0
Alaska,2008,1784,1593,157,27,7,0,0
Alaska,2009,1913,1610,248,35,18,1,1
Alaska,2010,2097,1776,280,33,8,0,0
Alaska,2011,2196,1882,279,29,5,1,0
Alaska,2012,2410,2069,293,21,25,2,0
Alaska,2013,2274,1952,255,38,29,0,0
