name,capacity_mw,latitude,longitude,fuel1,commissioning_year
A B Brown,706.8,37.9053,-87.715,Coal,1986
A.E.S. Corp.,454.3,17.9474,-66.1494,Coal,
AES Hawaii,203,21.3034,-158.1065,Coal,1992
AES Petersburg,2154.8,38.5281,-87.2525,Coal,1977
AES Shady Point LLC,350,35.1931,-94.6458,Coal,1990
AES Warrior Run Cogeneration Facility,229,39.5952,-78.7453,Coal,1999
Allen S King,598.4,45.03,-92.7786,Coal,1958
Allen Steam Plant,1610.8,35.0741,-90.1487,Coal,1964
Amalgamated Sugar Twin Falls,10.2,42.5328,-114.4328,Coal,1976
American Crystal Sugar Crookston,6.5,47.7647,-96.6334,Coal,1964
American Crystal Sugar Drayton,6,48.5932,-97.1761,Coal,1965
American Crystal Sugar East Grand Forks,7.5,47.9272,-97.0072,Coal,1990
American Crystal Sugar Hillsboro,13.3,47.4376,-97.0631,Coal,1990
American Crystal Sugar Moorhead,5,46.9026,-96.7611,Coal,1953
Antelope Valley,869.8,47.3705,-101.8357,Coal,1985
Apache Station,660.7,32.0603,-109.8931,Coal,1978
ArcelorMittal Warren,20.5,41.2119,-80.8176,Coal,1960
Archer Daniels Midland Cedar Rapids,294.6,41.9221,-91.6875,Coal,1997
Archer Daniels Midland Clinton,180,41.8206,-90.2097,Coal,2009
Archer Daniels Midland Columbus,71.4,41.4164,-97.2863,Coal,2010
Archer Daniels Midland Decatur,335,39.8701,-88.8908,Coal,1996
Archer Daniels Midland Des Moines,7.9,41.6244,-93.5845,Coal,1988
Archer Daniels Midland Lincoln,7.9,40.8665,-96.6145,Coal,1988
Archer Daniels Midland Mankato,6.1,44.1871,-93.9924,Coal,1987
Argus Cogen Plant,62.5,35.765,-117.3833,Coal,1974
Asbury,212.8,37.3613,-94.5893,Coal,1970
Ashdown,156.5,33.6417,-94.1083,Coal,1985
Asheville,837.1,35.4731,-82.5417,Coal,1984
Aurora Energy LLC Chena,27.5,64.8477,-147.7351,Coal,1969
Avon Lake,709,41.5045,-82.0546,Coal,1970
B L England,339.6,39.2908,-74.6364,Coal,1970
Bailly,641,41.645,-87.1225,Coal,1966
Baldwin Energy Complex,1894.1,38.205,-89.8544,Coal,1973
Barry,2569.5,31.0069,-88.0103,Coal,1981
Bay Front,67.2,46.5872,-90.9017,Coal,1953
Belews Creek,2491.2,36.2811,-80.0603,Coal,1975
Belle River,1664.4,42.7756,-82.495,Coal,1987
Big Bend,1884.5,27.7944,-82.4036,Coal,1977
Big Brown,1186.8,31.8206,-96.0544,Coal,1973
Big Cajun 2,1902.9,30.7261,-91.3692,Coal,1982
Big Stone,451,45.3037,-96.5101,Coal,1975
Birchwood Power,258.3,38.2667,-77.3147,Coal,1996
Biron Mill,61.6,44.43,-89.78,Coal,1968
Boardman,642.2,45.6932,-119.8088,Coal,1980
Bonanza,499.5,40.0864,-109.2844,Coal,1986
Bowen,3498.6,34.1256,-84.9222,Coal,1973
Brame Energy Center,1707.3,31.395,-92.7167,Coal,1992
Brandon Shores,1370,39.18,-76.5389,Coal,1988
Brayton Point,1600.1,41.7103,-71.1931,Coal,1969
Bridgeport Station,418.6,41.1706,-73.1844,Coal,1968
Brunner Island,1624.2,40.0961,-76.6962,Coal,1966
Bull Run,950,36.0211,-84.1567,Coal,1967
Burlington (IA),290.8,40.7412,-91.1167,Coal,1975
C D McIntosh Jr,890.4,28.0801,-81.9229,Coal,1989
