year,avg,state
1980,17.286833333333334,Alabama
1981,17.02808333333333,Alabama
1982,17.725333333333335,Alabama
1983,16.519000000000002,Alabama
1984,17.401833333333332,Alabama
1985,17.436666666666664,Alabama
1986,18.133666666666667,Alabama
1987,17.487000000000002,Alabama
1988,16.969416666666667,Alabama
1989,17.04183333333333,Alabama
1990,18.5365,Alabama
1991,18.039083333333334,Alabama
1992,17.03858333333333,Alabama
1993,17.126749999999998,Alabama
1994,17.517583333333334,Alabama
1995,17.536416666666668,Alabama
1996,17.06608333333333,Alabama
1997,17.253666666666664,Alabama
1998,18.786833333333337,Alabama
1999,18.271083333333337,Alabama
2000,17.91133333333333,Alabama
2001,17.67775,Alabama
2002,18.022166666666667,Alabama
2003,17.513166666666667,Alabama
2004,17.8385,Alabama
2005,17.85725,Alabama
2006,18.29575,Alabama
2007,18.423333333333332,Alabama
2008,17.5695,Alabama
2009,17.60683333333333,Alabama
2010,17.460583333333332,Alabama
2011,18.12425,Alabama
2012,18.734916666666667,Alabama
2013,18.956555555555557,Alabama
1980,-4.29325,Alaska
1981,-2.7237499999999994,Alaska
1982,-4.919583333333333,Alaska
1983,-4.121166666666666,Alaska
1984,-5.036666666666666,Alaska
1985,-4.4561666666666655,Alaska
1986,-4.136666666666666,Alaska
1987,-3.6734166666666668,Alaska
1988,-3.8554999999999997,Alaska
1989,-4.039750000000001,Alaska
1990,-4.847500000000001,Alaska
1991,-3.9994166666666673,Alaska
1992,-5.104333333333333,Alaska
1993,-2.46425,Alaska
1994,-4.5603333333333325,Alaska
1995,-3.55925,Alaska
1996,-4.9125,Alaska
1997,-3.2998333333333334,Alaska
1998,-3.0630000000000006,Alaska
1999,-5.627833333333332,Alaska
2000,-3.3017499999999997,Alaska
2001,-3.727833333333333,Alaska
2002,-2.2389166666666678,Alaska
2003,-2.8045000000000004,Alaska
2004,-2.7365833333333334,Alaska
2005,-2.80725,Alaska
2006,-4.1160000000000005,Alaska
2007,-3.2524166666666674,Alaska
2008,-4.864083333333334,Alaska
2009,-3.9795,Alaska
2010,-3.454916666666667,Alaska
2011,-3.793416666666667,Alaska
2012,-5.280666666666668,Alaska
2013,-1.8314444444444438,Alaska
1980,15.82425,Arizona
1981,16.449583333333333,Arizona
1982,15.032083333333333,Arizona
1983,15.310416666666667,Arizona
1984,15.397666666666664,Arizona
1985,15.438583333333336,Arizona
1986,15.976,Arizona
1987,15.30358333333333,Arizona
1988,15.770499999999998,Arizona
1989,16.334500000000002,Arizona
1990,15.531249999999998,Arizona
1991,15.249000000000002,Arizona
1992,15.429083333333336,Arizona
1993,15.553250000000004,Arizona
1994,15.98958333333333,Arizona
1995,16.203750000000003,Arizona
1996,16.665166666666668,Arizona
1997,15.953666666666665,Arizona
1998,15.258083333333333,Arizona
1999,16.00025,Arizona
2000,16.510250000000003,Arizona
2001,16.257749999999998,Arizona
2002,16.256416666666663,Arizona
2003,16.676166666666667,Arizona
2004,15.83975,Arizona
2005,16.267083333333336,Arizona
2006,16.220166666666664,Arizona
2007,16.44333333333333,Arizona
2008,15.916333333333329,Arizona
2009,16.188499999999998,Arizona
2010,15.798,Arizona
2011,15.774000000000001,Arizona
2012,16.752416666666665,Arizona
2013,17.813222222222223,Arizona
1980,16.108249999999998,Arkansas
1981,15.929166666666665,Arkansas
1982,15.79925,Arkansas
1983,15.168416666666667,Arkansas
1984,15.859833333333333,Arkansas
1985,15.704500000000001,Arkansas
1986,16.659583333333334,Arkansas
1987,16.401500000000002,Arkansas
1988,15.730416666666668,Arkansas
1989,15.276166666666667,Arkansas
1990,16.87008333333333,Arkansas
1991,16.55816666666667,Arkansas
1992,15.797666666666666,Arkansas
1993,15.392916666666666,Arkansas
1994,16.014583333333334,Arkansas
1995,16.0665,Arkansas
1996,15.565083333333334,Arkansas
1997,15.621416666666667,Arkansas
1998,17.487916666666667,Arkansas
1999,17.020999999999997,Arkansas
2000,16.362583333333337,Arkansas
2001,16.5075,Arkansas
2002,16.198583333333332,Arkansas
2003,16.045333333333332,Arkansas
2004,16.4005,Arkansas
2005,16.873583333333332,Arkansas
2006,16.948999999999998,Arkansas
2007,16.833666666666662,Arkansas
2008,15.761750000000001,Arkansas
2009,15.81225,Arkansas
2010,16.471416666666666,Arkansas
2011,16.866083333333332,Arkansas
2012,17.825999999999997,Arkansas
2013,17.50611111111111,Arkansas
1980,14.662583333333332,California
1981,15.318666666666667,California
1982,13.702166666666665,California
1983,14.42125,California
1984,14.699166666666665,California
1985,14.18133333333333,California
1986,15.046083333333335,California
1987,14.739833333333332,California
1988,14.969083333333332,California
1989,14.604916666666666,California
1990,14.527583333333334,California
1991,14.5575,California
1992,15.27691666666667,California
1993,14.40708333333333,California
1994,14.568166666666665,California
1995,15.09383333333333,California
1996,15.445750000000002,California
1997,15.200499999999998,California
1998,13.905583333333333,California
1999,14.53525,California
2000,15.019333333333334,California
2001,15.171249999999995,California
2002,15.037583333333332,California
2003,15.391416666666666,California
2004,15.068750000000001,California
2005,14.919666666666666,California
2006,14.945416666666665,California
2007,15.06241666666667,California
2008,15.071166666666668,California
2009,15.004249999999999,California
2010,14.408166666666666,California
2011,14.265749999999999,California
2012,15.3585,California
2013,16.845444444444446,California
1980,7.661249999999999,Colorado
1981,8.412916666666666,Colorado
1982,6.740166666666667,Colorado
1983,6.910666666666668,Colorado
1984,6.577750000000001,Colorado
1985,6.6954166666666675,Colorado
